N,Bal,Brick,Dist,District,Floor,Kitsp,Link,Livesp,Metrdist,NFloor,New,Price,Tel,Totsp,Walk,rooms
4157,1,0,13.995044724560204,4,5,6.0,148506328,43.5,10.0,9,0,7550000,1,59.2,0,3.0
4158,0,1,8.152949272319578,4,24,13.9,148320687,19.7,10.0,25,1,7571342,,46.7,0,1.0
4159,1,1,12.858915665759076,4,23,,151051581,,4.0,25,1,7576702,,58.7,0,2.0
4160,1,0,11.130043350254244,4,7,7.0,148911174,47.0,5.0,9,0,7598000,1,56.0,0,3.0
4161,1,0,19.65275555220174,4,6,8.2,148740741,43.0,,19,0,7600000,1,75.0,,3.0
4162,1,0,11.72561788907967,4,11,8.5,143190211,30.5,10.0,12,0,7600000,1,52.4,0,2.0
4163,1,0,5.567156844184148,4,3,6.0,150708019,28.7,8.0,12,0,7600000,1,45.7,0,2.0
4164,1,1,12.858915665759076,4,4,,151051884,,4.0,32,1,7619709,,64.5,0,2.0
4165,0,1,13.11579908458151,4,16,,48908841,35.6,20.0,32,1,7625612,,57.8,1,2.0
4166,1,0,21.040548121384393,4,25,13.9,148329570,42.8,20.0,25,1,7672300,,87.9,0,3.0
4167,0,1,13.11579908458151,4,10,10.5,48905856,32.4,20.0,25,1,7674820,,58.1,1,3.0
4168,0,1,13.11579908458151,4,6,7.8,147997852,37.1,20.0,6,1,7694232,,56.2,1,2.0
4169,0,1,9.649580341928486,4,1,6.0,148374609,40.0,10.0,9,0,7700000,,57.0,1,3.0
4170,1,,12.936152626867978,4,12,,151028433,40.0,16.0,12,0,7700000,1,70.0,1,3.0
4171,1,0,12.940401082109215,4,4,8.0,149996759,31.1,11.0,9,0,7700000,,52.1,1,2.0
4172,1,,14.29304932496186,4,2,12.0,150626815,35.0,17.0,7,0,7700000,1,55.0,1,2.0
4173,1,0,20.984096482653474,4,15,9.0,148939028,34.7,15.0,17,1,5251650,,55.9,0,2.0
4174,0,0,10.045612850664314,4,1,8.0,150711125,19.1,9.0,17,0,5400000,1,38.0,1,1.0
4175,1,0,5.197778486875387,4,3,6.6,149802032,52.2,10.0,7,0,17500000,1,80.0,1,3.0
4176,1,1,12.858915665759076,4,2,,151051646,,4.0,25,1,7717684,,57.4,0,2.0
4177,0,1,13.11579908458151,4,2,7.8,149036549,40.2,20.0,6,1,7722796,,58.7,1,2.0
4178,0,0,10.997282934933027,4,2,6.0,150655439,45.5,10.0,5,0,7750000,0,59.5,1,3.0
4179,1,0,10.997282934933027,4,4,6.0,150098585,47.0,10.0,5,0,7750000,1,60.0,1,3.0
4180,1,0,13.995044724560204,4,5,6.0,148391222,43.5,,9,0,7750000,1,59.2,,3.0
4181,1,0,14.239916375081771,4,2,9.0,150159265,33.0,21.0,17,0,7750000,1,52.0,1,2.0
4182,1,1,12.858915665759076,4,2,,151051857,,4.0,32,1,7752987,,66.2,0,2.0
4183,1,0,21.130884505653544,4,15,12.9,148802947,43.0,,17,1,7768750,,87.5,,3.0
4184,1,,8.218631044690841,4,1,,151064260,,6.0,9,1,7786594,,48.7,0,1.0
4185,1,1,8.152949272319578,4,1,13.2,147531895,21.2,10.0,9,1,7786594,,48.7,0,1.0
4186,1,0,19.934065896999428,4,4,10.7,49449329,50.7,5.0,17,0,7790000,,82.0,0,3.0
4187,1,1,19.934065896999428,4,4,10.5,148362818,50.6,15.0,18,0,7790000,,82.1,0,3.0
4188,1,0,19.934065896999428,4,4,10.5,49450814,50.6,7.0,18,0,7790000,,82.1,0,3.0
4189,1,1,8.877272431314688,4,5,6.0,149823015,30.0,3.0,5,0,7790000,1,44.0,1,2.0
4190,1,1,8.321687683380832,4,2,14.0,150681863,29.0,20.0,5,0,7800000,0,51.0,1,2.0
4191,1,,14.528829258299174,4,16,9.5,150213276,33.5,5.0,17,0,7800000,,56.0,1,2.0
4192,1,0,14.333208391653786,4,4,8.6,150167105,29.2,20.0,12,0,7800000,1,53.0,1,2.0
4193,1,,10.662466005289975,4,1,6.0,150797651,30.0,24.0,9,0,7800000,1,45.0,1,2.0
4194,0,1,13.11579908458151,4,5,14.0,150849799,28.6,20.0,9,1,7822113,,57.4,1,2.0
4195,0,1,13.11579908458151,4,32,20.6,148938362,23.7,20.0,32,1,7840559,,58.7,1,2.0
4196,1,1,12.858915665759076,4,27,,151052227,,4.0,32,1,7840559,,58.7,0,2.0
4197,1,0,20.609095443589354,4,9,13.0,150508067,46.0,10.0,17,0,7850000,0,76.0,0,3.0
4198,1,0,9.958076634192286,4,3,8.1,149902399,31.0,15.0,14,0,7850000,1,52.5,1,2.0
4199,1,0,20.609095443589354,4,9,13.5,139861457,44.0,,17,0,7850000,,76.0,,3.0
4200,1,0,21.130884505653544,4,6,12.9,150685096,42.9,20.0,17,1,7875000,,87.5,0,3.0
4201,1,0,12.782558295396493,5,10,11.0,150118239,48.0,3.0,17,0,16000000,,74.0,1,3.0
4202,1,1,1756.9025483157543,5,10,15.0,150993121,67.0,,14,0,176736150993121,0,150.0,,3.0
4203,0,,12.746033343076105,5,4,,151035594,56.0,8.0,9,0,89000,,56.0,1,2.0
4204,1,1,10.795388748623099,5,15,30.0,151036461,230.0,10.0,15,0,150000,1,400.0,0,
4205,0,1,1379.1788953420437,5,1,,150899006,28.0,,5,0,470000,0,43.0,,2.0
4206,0,0,112.09828267669037,5,1,5.0,141075527,12.0,80.0,1,0,550000,,30.0,0,1.0
4207,0,1,2.0601063668642734,5,3,,43513091,180.0,5.0,8,0,254945600,,281.2,1,5.0
4208,0,0,2.829981431126101,5,5,19.0,150789621,32.0,10.0,12,0,17500000,1,60.1,1,3.0
4209,1,0,554.477483179677,5,5,9.0,147742603,18.0,,5,0,8311386958761,0,34.0,,1.0
4210,1,1,16.338237706215363,5,15,13.0,150972400,34.0,12.0,22,0,15900000,1,69.7,1,2.0
4211,1,1,13.285839848437845,5,8,18.2,148503308,65.6,7.0,24,0,32680000,1,120.1,1,3.0
4212,1,,1264.3441124624362,5,3,7.0,148426571,17.0,,5,0,9500000148426571,0,31.0,,1.0
4213,1,1,30.96858620648379,5,10,5.3,150514886,18.2,25.0,10,1,2782963,,33.2,0,1.0
4214,0,1,10.976706714968326,5,18,11.8,150382313,58.0,15.0,23,0,27725000,1,110.9,0,3.0
4215,1,1,18.64213371123173,5,2,10.0,150195133,15.4,,17,1,4404580,,38.0,,1.0
4216,1,,16.004123956496375,5,3,,150873856,,,9,1,4550130,,38.9,,2.0
4217,1,0,12.660111094059031,5,3,7.8,150507587,29.1,5.0,25,1,10672000,,46.4,1,2.0
4218,1,,1.8150184820437611,5,9,9.6,150885012,20.0,1.0,15,0,14200000,0,40.0,0,1.0
4219,1,0,15.681671695780228,5,4,6.0,150655593,30.0,10.0,9,0,7399000,1,45.0,1,2.0
4220,1,1,1197.7153400029429,5,1,10.0,149739108,23.0,,4,0,1150000,,41.0,,1.0
4221,1,0,12.127982768883108,5,11,8.6,143105988,30.5,3.0,12,0,9250000,1,53.0,1,2.0
4222,0,1,6.38203484923589,5,26,22.1,150103617,128.2,15.0,50,0,66350000,0,169.3,1,4.0
4223,0,1,122.76793858297282,5,1,7.0,149241075,28.0,,2,0,1200000,,43.4,,2.0
4224,1,,16.375129321654896,5,14,10.0,149552129,32.2,14.0,16,0,8000000,,54.0,1,2.0
4225,1,1,2.7577034650227863,5,5,,149670247,120.0,5.0,12,0,56000000,,150.0,1,4.0
4226,0,,11.665540908121585,5,21,14.0,150767887,68.0,10.0,35,0,34950000,1,114.0,1,3.0
4227,0,0,646.7913182190451,5,2,8.0,150932491,27.0,,2,0,12000000150932491,0,36.0,,2.0
4228,1,1,1197.7153400029429,5,1,11.0,150639894,17.0,,4,0,1200000,,34.2,,1.0
4229,1,1,5626.113364030279,5,1,10.0,151004464,20.0,,3,0,1220000,0,37.7,,1.0
4230,1,1,11.097251495233703,5,23,14.0,150379994,75.0,10.0,23,0,33025000,1,132.1,1,3.0
4231,0,1,14.275637462765998,5,3,18.0,149712802,100.0,12.0,37,0,77000000,1,156.0,1,3.0
4232,1,,323.9801624430828,5,4,6.1,150278691,28.2,,5,0,1280000,1,42.5,,2.0
4233,0,,1202.8728129230612,5,1,,150491215,,,6,1,1300000,,36.1,,1.0
4234,1,1,3.896105414624116,5,3,,149757589,85.0,5.0,12,1,49500000,,120.0,1,4.0
4235,1,,14.95371006271185,5,15,12.0,150982750,,10.0,21,1,12617645,,73.1,0,2.0
4236,1,1,1.9391732812048106,5,7,10.0,150630114,33.0,10.0,8,0,41000000,,62.0,1,2.0
4237,1,0,4747.285460640256,5,3,6.0,150955327,18.0,,5,0,7711774211941,1,31.4,,1.0
4238,0,0,2.810661658008254,5,1,,150230286,18.0,4.0,7,0,8350000,,32.0,1,1.0
4239,1,1,4.368338767783848,5,5,12.0,150917360,38.0,15.0,14,0,28500000,1,75.0,1,2.0
4240,1,0,117.48068829685708,5,3,9.0,150243928,45.0,,3,0,1350000,1,67.0,,3.0
4241,1,0,413.7512518996702,5,9,10.0,146361944,19.0,,10,0,1311318006421,1,40.0,,1.0
4242,1,1,9.267554012077458,5,14,25.0,150752916,86.0,12.0,18,0,48900000,0,147.0,0,4.0
4243,1,1,1199.9261026182921,5,5,15.0,150406975,13.0,,9,0,711708361671,0,37.0,,1.0
4244,1,1,1279.0199058151882,5,3,7.5,150775595,14.6,,3,1,1374280,,26.5,,1.0
4245,0,1,34.016107509983144,5,2,,150314057,34.5,,3,0,1380000,,34.5,,1.0
4246,0,,18.679807592648988,5,2,,150921326,11.0,9.0,3,0,1390000,,14.3,1,1.0
4247,0,1,22.190621697487053,5,3,,150799498,15.0,15.0,3,1,1399111,,15.1,0,1.0
4248,0,,21.082244084296487,5,3,,150797948,15.0,26.0,3,0,1399222,1,15.2,0,1.0
4249,0,1,20.61863630310753,5,3,5.0,150835717,10.3,15.0,3,1,1399333,,15.3,0,1.0
4250,0,1,21.51654138503733,5,3,5.4,150831553,10.0,17.0,3,0,1399444,1,15.4,0,1.0
4251,0,1,22.06505764565722,5,3,,150808038,14.4,,3,0,1399666,1,15.6,,1.0
4252,0,1,4.788933471037182,5,47,,150882638,40.0,2.0,75,1,45854898,,81.4,1,2.0
4253,1,1,1.4029233242182626,5,2,15.0,149351749,79.6,3.0,6,0,45000000,1,129.6,0,4.0
4254,0,,1202.8728129230612,5,5,,150491209,,,6,1,1400000,,41.1,,1.0
4255,1,1,3.1976241399726772,5,6,16.0,149812291,86.9,5.0,13,0,85000000,0,138.0,1,3.0
4256,1,1,2.723888125286292,5,3,19.0,150712413,40.0,10.0,4,0,47000000,,77.0,1,2.0
4257,0,1,12.061469345363852,5,7,,49581289,200.0,13.0,28,0,69000000,,263.0,1,
4258,1,1,22.086662407949685,5,1,,150984074,21.0,15.0,16,1,3532100,,42.0,0,1.0
4259,1,1,412.85209389137,5,5,10.0,150943170,17.0,,9,1,1470000,,32.0,,1.0
4260,1,0,18.327209287875114,5,15,8.8,150966516,15.1,10.0,25,1,3563700,,33.9,0,1.0
4261,1,1,6.1251560988385565,5,2,12.0,149019231,31.0,9.0,20,1,10740750,,61.5,1,2.0
4262,0,1,21.704161795888954,5,3,4.0,150290348,20.0,25.0,3,0,1490000,0,26.0,0,1.0
4263,1,,1199.873166427978,5,6,19.5,148277083,15.4,,9,1,1500000,,44.9,,1.0
4264,1,1,11.620836932253019,5,33,30.0,148776875,318.0,19.0,40,0,59000000,1,378.0,1,4.0
4265,0,1,5.0167736911846585,5,5,,149554247,86.1,7.0,10,0,89284680,,144.2,1,4.0
4266,1,0,464.516834230309,5,9,10.0,150949361,32.0,,9,0,7711773336891,0,48.0,,2.0
4267,1,1,10.899005264213567,5,12,12.3,51108033,52.0,13.0,18,0,29700000,,104.3,1,3.0
4268,0,1,9.116123179843068,5,4,5.0,148195829,15.1,10.0,5,0,4800000,,23.3,1,1.0
4269,1,,3375.242830603095,5,5,9.0,149966516,31.2,,5,0,5611656201221,,54.4,,2.0
4270,0,,435.42990972012984,5,1,6.4,148451213,31.0,,2,0,1500000,0,45.8,,2.0
4271,1,1,6373.9252315390995,5,1,10.0,150641939,42.0,,4,0,3711737614951,0,57.0,,3.0
4272,1,0,604.7188323521514,5,2,8.0,49852634,18.0,,9,0,11004443011,0,34.0,,1.0
4273,0,,2.1817495513710203,5,4,,142204996,,12.0,7,0,73020000,,121.7,1,3.0
4274,1,,4.9012372695857085,5,5,9.0,148554979,52.8,,5,0,14300000,,80.0,,3.0
4275,1,1,9.1831841280742,5,13,10.6,150573294,18.5,15.0,21,1,16090800,,50.6,1,1.0
4276,1,1,2942.676602113458,5,2,,150388483,18.0,,5,0,1590000,1,30.9,,1.0
4277,0,1,2.2879347921096356,5,2,,21368873,71.0,6.0,11,1,158028030,,177.1,1,4.0
4278,1,,2.10333376476477,5,4,15.0,149813722,65.0,4.0,8,0,57000000,1,103.0,1,3.0
4279,0,1,20.61863630310753,5,1,,150799670,20.0,17.0,3,1,1599111,,20.1,0,1.0
4280,0,1,21.441177985911075,5,1,,150798043,20.0,16.0,3,0,1599222,1,20.2,0,1.0
4281,0,1,22.190621697487053,5,1,5.0,150860571,15.3,19.0,3,1,1599333,,20.3,0,1.0
4282,0,1,20.74160134837141,5,1,5.0,150859901,15.4,23.0,3,0,1599444,1,20.4,0,1.0
4283,1,1,1197.3608951689819,5,2,10.0,150835516,18.0,,3,0,1600000,,45.0,,1.0
4284,1,1,11.097251495233703,5,18,15.0,150380862,53.7,10.0,23,0,29750000,1,119.0,1,3.0
4285,0,,1202.8728129230612,5,5,,150491201,,,6,1,1600000,,50.2,,1.0
4286,0,,2.0185577289185916,5,2,,2914021,,15.0,8,0,234530831,,237.4,1,4.0
4287,1,1,9.370964966076283,5,6,20.0,150643214,99.0,5.0,14,0,44000000,1,136.9,1,4.0
4288,1,1,9.742914004559475,5,5,21.4,150773942,131.3,14.0,23,0,66990000,1,246.2,1,4.0
4289,1,0,23.502109308947873,5,2,10.0,150987221,19.0,10.0,17,0,5250000,,39.0,0,1.0
4290,0,1,22.051321050602965,5,2,11.5,148473410,,10.0,9,1,7792200,,66.6,0,2.0
4291,1,1,13.650180814761438,6,2,,150967038,,7.0,7,1,4905440,,34.4,0,1.0
4292,1,1,7.756632337920966,6,4,15.0,150155985,54.0,11.0,18,0,40500000,,90.0,1,3.0
4293,1,1,11.097251495233703,6,16,17.0,148503062,78.4,10.0,18,0,35250000,1,141.0,1,3.0
4294,1,1,20.478828001356856,6,3,,150497471,20.5,8.0,7,1,2865000,,20.5,1,1.0
4295,0,,12.586679771765786,6,2,3.0,149147065,12.0,11.0,15,0,2920500,0,17.7,1,1.0
4296,0,1,26.286867995369835,6,10,,150494730,27.9,15.0,17,1,3027239,,27.9,1,1.0
4297,0,1,26.286867995369835,6,17,,150494769,27.9,15.0,17,1,3081784,,27.9,1,1.0
4298,0,,12.586679771765786,6,9,3.0,149147080,12.0,11.0,15,0,3311500,,17.9,1,1.0
4299,0,1,26.286867995369835,6,2,,150494633,37.2,15.0,16,1,3790725,,37.2,1,1.0
4300,0,1,26.286867995369835,6,2,,150494665,39.2,15.0,17,1,3854774,,39.2,1,1.0
4301,0,1,26.286867995369835,6,2,,150494634,39.5,15.0,16,1,3867394,,39.5,1,1.0
4302,0,1,26.286867995369835,6,6,,150494710,38.3,15.0,17,1,3884878,,38.3,1,1.0
4303,0,1,26.286867995369835,6,7,,150994609,37.6,15.0,16,1,3939931,,37.6,1,1.0
4304,0,1,26.286867995369835,6,10,,150494648,38.7,15.0,16,1,3982261,,38.7,1,1.0
4305,0,1,26.286867995369835,6,11,,150494798,38.6,15.0,17,1,3993448,,38.6,1,1.0
4306,1,1,20.478828001356856,6,3,,150457338,50.0,8.0,6,1,3999000,,55.0,1,3.0
4307,0,1,26.286867995369835,6,14,,150494618,37.7,15.0,16,1,4027770,,37.7,1,1.0
4308,0,1,26.286867995369835,6,16,,150494690,40.1,15.0,17,1,4142387,,40.1,1,1.0
4309,0,1,12.213521397231727,6,9,4.0,150197784,13.3,7.0,19,1,4233600,,28.8,0,1.0
4310,0,1,12.213521397231727,6,3,4.0,150197629,13.3,7.0,19,1,4240800,,27.9,0,1.0
4311,0,1,12.213521397231727,6,15,5.6,150197725,14.0,7.0,19,1,4278000,,27.6,0,1.0
4312,1,0,27.626333702107686,6,13,9.0,149634417,20.0,15.0,17,0,4300000,1,44.0,0,1.0
4313,1,0,27.739886374949993,6,13,8.5,148913521,19.7,15.0,14,0,4300000,,42.1,0,1.0
4314,0,,16.336083353126824,6,1,6.0,150199061,16.0,5.0,9,0,4300000,,28.0,0,1.0
4315,1,1,25.81377585285102,6,17,11.2,149913827,18.6,12.0,17,0,4350000,,41.7,1,1.0
4316,0,0,24.54665951718411,6,2,8.0,47907434,18.9,5.0,14,0,4400000,1,37.6,1,1.0
4317,1,0,27.95463659835463,6,7,12.0,151013992,19.0,10.0,24,0,4490000,0,40.0,0,1.0
4318,1,0,27.77122557273699,6,6,8.0,151059187,18.0,5.0,17,0,4500000,,38.0,1,1.0
4319,0,1,12.117413387998907,6,25,20.0,145874156,31.0,5.0,48,0,18500000,0,61.0,0,2.0
4320,1,1,10.88908789914419,6,30,20.0,149473216,109.0,19.0,31,0,35880000,0,138.0,1,3.0
4321,1,1,11.584230844174478,6,20,21.5,150255917,93.1,20.0,32,0,37500000,0,172.4,1,4.0
4322,0,0,17.838300438916608,6,5,6.0,145323169,18.0,12.0,9,0,4500000,,33.0,1,1.0
4323,1,,27.755863041049363,6,3,9.0,148476315,20.0,,17,0,4500000,0,42.0,,1.0
4324,1,,27.774240338712566,6,4,8.7,150678616,20.0,15.0,10,0,4500000,,42.2,0,1.0
4325,1,0,27.783545276517962,6,7,9.0,150956236,19.8,,14,0,4600000,1,43.4,,1.0
4326,1,1,13.650180814761438,6,4,8.2,150944350,14.5,,7,1,4626700,,33.3,,1.0
4327,1,,24.4820523811672,6,2,,150034800,16.0,10.0,10,0,4650000,,29.0,1,1.0
4328,1,0,12.052568995806556,6,5,6.0,148904980,18.0,18.0,5,0,4700000,1,31.1,1,1.0
4329,0,1,12.213521397231727,6,9,10.9,150198286,14.2,7.0,19,1,4740000,,31.6,0,1.0
4330,1,0,25.512773017684246,6,6,7.0,150783830,19.5,7.0,9,0,4750000,,41.0,1,1.0
4331,1,0,25.512773017684246,6,6,7.0,150785146,19.5,7.0,9,0,4750000,,41.0,1,1.0
4332,1,1,25.81377585285102,6,3,10.5,150525651,18.5,17.0,17,0,4750000,,37.6,1,1.0
4333,0,1,12.213521397231727,6,4,10.9,150197638,14.2,7.0,19,1,4800000,,32.0,0,1.0
4334,1,0,10.767993037518165,6,5,7.0,147773302,18.0,10.0,5,0,4800000,0,30.0,1,1.0
4335,1,,10.767993037518165,6,5,6.0,148569145,17.0,22.0,5,0,4850000,,30.0,1,1.0
4336,1,0,24.644835156180598,6,6,6.0,150291208,16.0,12.0,9,0,4850000,,30.0,1,1.0
4337,1,0,11.235507652856976,6,5,6.0,148399419,17.5,15.0,5,0,4850000,1,30.9,1,1.0
4338,1,1,13.650180814761438,6,3,10.0,151048950,18.0,,7,1,4898000,,31.2,,1.0
4339,0,0,17.838300438916608,6,9,6.0,150449346,18.0,10.0,9,0,4900000,,33.0,1,1.0
4340,1,0,10.387055951122925,6,4,5.5,150234433,22.2,15.0,5,0,4900000,1,33.5,1,1.0
4341,0,1,12.213521397231727,6,5,4.9,150197653,26.3,7.0,19,1,4945700,,36.1,0,2.0
4342,0,1,12.213521397231727,6,3,6.8,150197753,25.6,7.0,19,1,4963200,,37.6,0,2.0
4343,1,1,13.650180814761438,6,3,,150967050,,7.0,7,1,4968736,,34.4,0,1.0
4344,0,,12.586679771765786,6,2,11.6,149146725,17.2,11.0,15,0,4976600,0,35.2,1,1.0
4345,1,,25.10299802906167,6,6,9.2,150932262,14.5,12.0,12,0,4980000,,36.3,1,1.0
4346,1,0,8.896472732253192,6,5,7.8,149827793,20.0,12.0,5,0,4980000,1,37.0,1,1.0
4347,1,1,8.203226459306238,6,6,12.0,147865407,56.5,2.0,10,0,39000000,1,85.0,1,3.0
4348,1,1,10.976706714968326,6,5,14.2,148656369,24.0,15.0,23,0,13900000,1,55.6,0,1.0
4349,1,0,17.07549209567423,6,5,6.2,150116722,44.0,6.0,9,0,9800000,1,59.0,1,3.0
4350,1,1,13.650180814761438,6,7,,150967198,,7.0,7,1,4983180,,34.5,0,1.0
4351,0,,17.810694524083388,6,4,6.0,150437650,19.0,15.0,9,0,5000000,1,33.0,1,1.0
4352,1,0,12.098337193730988,6,3,6.0,150462436,21.4,5.0,9,0,5000000,1,31.6,0,1.0
4353,0,0,9.736807406828778,6,2,,150954324,20.0,15.0,9,0,5000000,,32.0,1,1.0
4354,1,,22.860202996155905,6,2,9.2,149851564,15.0,5.0,12,0,5000000,0,36.5,1,1.0
4355,0,1,12.213521397231727,6,10,4.0,150197688,13.3,7.0,19,1,5006500,,32.3,0,1.0
4356,0,1,12.213521397231727,6,7,5.9,150197774,22.6,7.0,19,1,5014200,,36.6,0,2.0
4357,1,1,21.856602000114982,6,4,14.2,150690691,12.2,15.0,23,1,5043357,,40.1,1,1.0
4358,0,1,12.213521397231727,6,7,11.0,150198278,11.3,7.0,19,1,5055200,,35.6,0,1.0
4359,1,1,13.650180814761438,6,5,,150967080,,7.0,7,1,5055400,,35.0,0,1.0
4360,1,1,13.650180814761438,6,7,,150967107,,7.0,7,1,5069844,,35.1,0,1.0
4361,1,1,21.856602000114982,6,11,14.0,150690668,11.9,15.0,23,1,5074122,,39.8,1,1.0
4362,0,1,26.286867995369835,6,13,,150564328,38.8,15.0,17,1,5080777,,38.8,1,1.0
4363,1,1,21.856602000114982,6,4,14.4,150690633,11.9,15.0,23,1,5096239,,40.5,1,1.0
4364,1,0,24.123834686803157,6,7,11.0,150360663,15.0,8.0,9,0,5100000,1,36.0,1,1.0
4365,1,0,23.559353389868036,6,6,8.0,150828117,19.0,5.0,17,0,5100000,1,39.0,1,1.0
4366,0,1,13.650180814761438,6,6,,150967192,,7.0,7,1,5145744,,35.4,0,1.0
4367,1,,13.75483909613965,6,3,6.0,150658739,13.0,3.0,5,0,5150000,,28.0,1,1.0
4368,0,1,13.650180814761438,6,3,,150967148,,7.0,7,1,5162120,,36.2,0,1.0
4369,1,1,21.856602000114982,6,13,10.4,150690698,15.6,15.0,23,1,5175304,,40.4,1,1.0
4370,1,1,13.650180814761438,6,4,,150967066,,7.0,7,1,5185396,,35.9,0,1.0
4371,1,1,13.650180814761438,6,6,,150967024,,7.0,7,1,5185488,,36.6,0,1.0
4372,0,1,26.286867995369835,6,2,,150494666,55.7,15.0,17,1,5186203,,55.7,1,2.0
4373,0,,25.31266468631456,6,3,9.0,149922556,16.0,10.0,10,0,5190000,1,36.0,1,1.0
4374,1,0,24.224444459899516,6,14,8.0,150490534,17.7,5.0,14,0,5200000,1,39.0,1,1.0
4375,1,1,10.900382846558998,6,2,12.0,150784641,28.0,2.0,21,1,10931058,,54.0,1,2.0
4376,0,0,10.844331744893896,6,3,5.0,150649119,28.0,7.0,5,0,6500000,1,40.0,1,2.0
4377,1,1,11.734916686618437,6,5,15.2,150709232,36.3,10.0,8,1,21900000,,81.3,0,2.0
4378,1,1,13.650180814761438,6,4,9.0,19735396,33.0,23.0,7,1,5200000,,42.4,1,1.0
4379,1,0,22.71137139333173,6,2,9.0,148619166,18.0,16.0,14,0,5200000,1,40.0,1,1.0
4380,0,,23.500906082528708,6,1,10.0,150595104,15.0,2.0,12,0,5200000,1,36.0,1,1.0
4381,1,1,21.856602000114982,6,20,12.0,150690096,17.6,15.0,31,1,5204606,,47.9,1,1.0
4382,0,0,12.586679771765786,6,12,,150486911,34.6,11.0,15,1,5224000,,34.6,1,1.0
4383,1,1,21.856602000114982,6,17,12.0,150690289,17.6,15.0,31,1,5224919,,48.2,1,1.0
4384,1,1,21.856602000114982,6,13,12.0,150690308,17.6,15.0,31,1,5233871,,48.5,1,1.0
4385,1,1,21.856602000114982,6,14,12.0,150689846,17.6,15.0,31,1,5233871,,48.5,1,1.0
4386,1,1,21.856602000114982,6,16,12.0,150690116,17.6,15.0,31,1,5245122,,48.5,1,1.0
4387,1,1,21.856602000114982,6,16,12.0,150690092,17.6,15.0,31,1,5248370,,48.5,1,1.0
4388,1,1,20.478828001356856,6,4,,150464265,60.0,8.0,6,1,5250000,,70.0,1,3.0
4389,1,0,23.771858217923906,6,3,10.0,150630777,34.0,15.0,3,0,5250000,,54.8,1,2.0
4390,1,0,11.774271409663067,6,5,6.0,147892628,19.0,26.0,5,0,5250000,0,32.0,1,1.0
4391,0,1,26.286867995369835,6,4,,150494669,57.2,15.0,17,1,5269729,,57.2,1,2.0
4392,0,1,12.213521397231727,6,5,4.9,150197766,26.3,7.0,19,1,5278500,,39.1,0,2.0
4393,0,1,13.650180814761438,6,3,,150967146,,7.0,7,1,5278960,,38.0,0,1.0
4394,0,1,26.286867995369835,6,12,,150494588,53.6,15.0,16,1,5281779,,53.6,1,2.0
4395,1,,27.783545276517962,6,3,8.5,150413043,20.0,10.0,18,0,5300000,,43.0,0,1.0
4396,1,0,11.318834214143871,6,5,6.5,150804284,18.0,14.0,5,0,5300000,,35.0,1,1.0
4397,1,0,25.0175512953053,6,6,9.0,51224514,21.0,7.0,6,0,5300000,1,40.7,1,1.0
4398,0,,9.582026042904374,6,1,6.0,150269913,20.0,3.0,5,0,5300000,1,32.0,1,1.0
4399,0,,24.38177501898218,6,3,8.5,150865239,20.6,11.0,9,0,5300000,1,38.6,1,1.0
4400,1,0,11.204706520139409,6,3,6.0,150900937,18.0,25.0,5,0,5300000,,31.1,1,1.0
4401,1,,27.981600003661093,6,6,8.0,150814117,19.9,10.0,10,0,5300000,1,42.4,0,1.0
4402,0,1,26.286867995369835,6,5,,150494673,57.7,15.0,17,1,5349445,,57.7,1,2.0
4403,0,1,12.268987267844656,6,5,,148269216,,3.0,20,1,10426500,,52.4,0,1.0
4404,1,,13.399074482814441,6,7,6.8,150440268,44.0,7.0,9,0,9490000,1,59.0,1,3.0
4405,1,0,17.07549209567423,6,5,6.2,150116722,44.0,6.0,9,0,9800000,1,59.0,1,3.0
4406,1,1,21.856602000114982,6,4,12.0,151011646,17.6,15.0,31,1,5372376,,48.2,1,1.0
4407,1,1,21.856602000114982,6,3,12.0,150689523,17.6,15.0,31,1,5378946,,48.2,1,1.0
4408,0,0,15.865194578938354,6,7,6.0,50814193,19.0,28.0,9,0,5390000,0,33.0,1,1.0
4409,0,,10.982969632094134,6,2,5.5,149586393,17.5,3.0,9,0,5390000,,32.0,1,1.0
4410,0,0,12.586679771765786,6,9,,150486872,36.2,11.0,15,1,5393000,,36.2,1,1.0
4411,0,0,13.524788830441482,6,6,8.0,150439985,20.0,15.0,9,0,5400000,1,33.0,1,1.0
4412,1,0,23.650153724689826,6,20,10.0,150868619,20.0,4.0,22,0,5400000,,39.0,1,1.0
4413,0,0,8.832360944427064,6,1,7.0,150828470,18.5,12.0,9,0,5400000,0,32.0,1,1.0
4414,1,1,13.650180814761438,6,5,10.0,150386655,16.0,15.0,7,1,5400000,,34.4,0,1.0
4415,1,,11.568133437018165,6,4,5.8,150964853,18.4,15.0,5,0,5400000,1,30.3,1,1.0
4416,1,,23.125239431006047,6,2,7.0,150820495,20.0,4.0,17,0,5400000,1,38.0,1,1.0
4417,1,1,21.856602000114982,6,14,13.3,150690135,18.4,15.0,31,1,5416436,,50.1,1,1.0
4418,0,,12.586679771765786,6,3,11.9,149146807,17.1,11.0,15,0,5425000,0,35.0,1,1.0
4419,0,0,12.586679771765786,6,3,,150486827,35.0,11.0,15,1,5425000,,35.0,1,1.0
4420,1,1,21.856602000114982,6,14,13.5,150690071,18.4,15.0,31,1,5444523,,50.4,1,1.0
